year,date,stage,course,type,distance_in_km,winner_name,country
1927,1927-06-25,7,Brest to Vannes,Team time-trial,207.0,Gustaaf van Slembrouck,Bélgica
1927,1927-06-26,8,Vannes to Les Sables d'Olonne,Team time-trial,204.0,Raymond Decorte,Bélgica
1927,1927-06-27,9,Les Sables d'Olonne to Bordeaux,Team time-trial,285.0,Adelin Benoit,Bélgica
1927,1927-06-28,10,Bordeaux to Bayonne,Flat,189.0,Pé Verhaegen,Bélgica
1927,1927-06-30,11,Bayonne to Luchon,Mountain,326.0,Nicolas Frantz,Luxemburgo
1927,1927-07-02,12,Luchon to Perpignan,Mountain,323.0,Gustaaf van Slembrouck,Bélgica
1927,1927-07-04,13,Perpignan to Marseille,Flat,360.0,Maurice Dewaele,Bélgica
1927,1927-07-05,14,Marseille to Toulon,Team time-trial,120.0,Antonin Magne,Francia
1927,1927-07-06,15,Toulon to Nice,Mountain,220.0,Nicolas Frantz,Luxemburgo
1927,1927-07-08,16,Nice to Briançon,Mountain,275.0,Julien Vervaecke,Bélgica
1927,1927-07-09,17,Briançon to Evian,Mountain,283.0,Pé Verhaegen,Bélgica
1927,1927-07-11,18,Evian to Pontarlier,Team time-trial,213.0,Adelin Benoit,Bélgica
1927,1927-07-12,19,Pontarlier to Belfort,Team time-trial,119.0,Maurice Geldhof,Bélgica
1927,1927-07-13,20,Belfort to Strasbourg,Team time-trial,145.0,Raymond Decorte,Bélgica
1927,1927-07-14,21,Strasbourg to Metz,Team time-trial,165.0,Nicolas Frantz,Luxemburgo
1927,1927-07-15,22,Metz to Charleville,Team time-trial,159.0,Hector Martin,Bélgica
1927,1927-07-16,23,Charleville to Dunkerque,Team time-trial,270.0,André Leducq,Francia
1927,1927-07-17,24,Dunkerque to Paris,Flat,344.0,André Leducq,Francia
1928,1928-06-17,1,Paris to Caen,Team time-trial,207.0,Nicolas Frantz,Luxemburgo
1928,1928-06-18,2,Caen to Cherbourg-en-Cotentin,Team time-trial,140.0,André Leducq,Francia
1928,1928-06-19,3,Cherbourg to Dinan,Team time-trial,199.0,Gaston Rebry,Bélgica
1928,1928-06-20,4,Dinan to Brest,Team time-trial,206.0,Pé Verhaegen,Bélgica
1928,1928-06-21,5,Brest to Vannes,Team time-trial,208.0,Marcel Bidot,Francia
1928,1928-06-22,6,Vannes to Les Sables d'Olonne,Team time-trial,204.0,Nicolas Frantz,Luxemburgo
1928,1928-06-23,7,Les Sables d'Olonne to Bordeaux,Team time-trial,285.0,Victor Fontan,Francia
1928,1928-06-24,8,Bordeaux to Hendaye,Team time-trial,225.0,Maurice Dewaele,Bélgica
1928,1928-06-26,9,Hendaye to Luchon,Mountain,387.0,Victor Fontan,Francia
1928,1928-06-28,10,Luchon to Perpignan,Mountain,323.0,André Leducq,Francia
1928,1928-06-30,11,Perpignan to Marseille,Flat,363.0,André Leducq,Francia
1928,1928-07-02,12,Marseille to Nice,Mountain,330.0,Nicolas Frantz,Luxemburgo
1928,1928-07-04,13,Nice to Grenoble,Mountain,333.0,Antonin Magne,Francia
1928,1928-07-06,14,Grenoble to Evian,Mountain,329.0,Julien Moineau,Francia
1928,1928-07-08,15,Evian to Pontarlier,Team time-trial,213.0,Pierre Magne,Francia
1928,1928-07-09,16,Pontarlier to Belfort,Team time-trial,119.0,André Leducq,Francia
1928,1928-07-10,17,Belfort to Strasbourg,Team time-trial,145.0,Joseph Mauclair,Francia
1928,1928-07-11,18,Strasbourg to Metz,Team time-trial,165.0,Nicolas Frantz,Luxemburgo
1928,1928-07-12,19,Metz to Charleville,Team time-trial,159.0,Marcel Huot,Francia
1928,1928-07-13,20,Charleville to Malo-les-Bains,Team time-trial,271.0,Maurice Dewaele,Bélgica
1928,1928-07-14,21,Malo-les-Bains to Dieppe,Team time-trial,234.0,Antonin Magne,Francia
1928,1928-07-15,22,Dieppe to Paris,Flat,331.0,Nicolas Frantz,Luxemburgo
1929,1929-06-30,1,Paris to Caen,Flat,206.0,Aimé Dossche,Bélgica
1929,1929-07-01,2,Caen to Cherbourg-en-Cotentin,Flat,140.0,André Leducq,Francia
1929,1929-07-02,3,Cherbourg to Dinan,Flat,199.0,Omer Taverne,Bélgica
1929,1929-07-03,4,Dinan to Brest,Flat,206.0,Louis Delannoy,Bélgica
1929,1929-07-04,5,Brest to Vannes,Flat,208.0,Gustaaf van Slembrouck,Bélgica
1929,1929-07-05,6,Vannes to Les Sables d'Olonne,Flat,206.0,Paul Le Drogo,Francia
1929,1929-07-06,7,Les Sables d'Olonne to Bordeaux,Flat,285.0,Nicolas Frantz,Luxemburgo
1929,1929-07-07,8,Bordeaux to Bayonne,Flat,182.0,Julien Moineau,Francia
1929,1929-07-09,9,Bayonne to Luchon,Mountain,363.0,Salvador Cardona,España
1929,1929-07-11,10,Luchon to Perpignan,Mountain,323.0,Jef Demuysere,Bélgica
1929,1929-07-13,11,Perpignan to Marseille,Flat,366.0,André Leducq,Francia
1929,1929-07-15,12,Marseille to Cannes,Team time-trial,191.0,Marcel Bidot,Francia
1929,1929-07-16,13,Cannes to Nice,Mountain,133.0,Benoît Fauré,Francia
1929,1929-07-18,14,Nice to Grenoble,Mountain,333.0,Gaston Rebry,Bélgica
1929,1929-07-20,15,Grenoble to Evian,Mountain,329.0,Julien Vervaecke,Bélgica
1929,1929-07-22,16,Evian to Belfort,Mountain,283.0,Charles Pélissier,Francia
1929,1929-07-23,17,Belfort to Strasbourg,Flat,145.0,André Leducq,Francia
1929,1929-07-24,18,Strasbourg to Metz,Flat,165.0,André Leducq,Francia
1929,1929-07-25,19,Metz to Charleville,Team time-trial,159.0,Bernard van Rysselberghe,Bélgica
1929,1929-07-26,20,Charleville to Malo-les-Bains,Team time-trial,270.0,Maurice Dewaele,Bélgica
1929,1929-07-27,21,Malo-les-Bains to Dieppe,Flat,234.0,André Leducq,Francia
1929,1929-07-28,22,Dieppe to Paris,Flat,332.0,Nicolas Frantz,Luxemburgo
1930,1930-07-02,1,Paris to Caen,Flat,206.0,Charles Pélissier,Francia
1930,1930-07-03,2,Caen to Dinan,Flat,203.0,Learco Guerra,Italia
1930,1930-07-04,3,Dinan to Brest,Flat,206.0,Charles Pélissier,Francia
1930,1930-07-05,4,Brest to Vannes,Flat,210.0,Omer Taverne,Bélgica
